date,ridership
2024-11-21,4262637
2024-11-22,3896180
2024-11-23,2739607
2024-11-24,2116852
2024-11-25,3956498
2024-11-26,4074568
2024-11-27,3752949
2024-11-28,1536624
2024-11-29,2705002
2024-11-30,2338969
2024-12-01,1913752
2024-12-02,3857696
2024-12-03,4287380
2024-12-04,4420509
2024-12-05,4399021
2024-12-06,4160316
2024-12-07,3033738
2024-12-08,2364812
2024-12-09,3983111
2024-12-10,4419353
2024-12-11,4299728
2024-12-12,4570716
2024-12-13,4217212
2024-12-14,3137443
2024-12-15,2351213
2024-12-16,3905041
2024-12-17,4380154
2024-12-18,4335843
2024-12-19,4299771
2024-12-20,3881686
2024-12-21,2661852
2024-12-22,2076532
2024-12-23,3256442
2024-12-24,2584860
2024-12-25,1398868
2024-12-26,2890216
2024-12-27,3198149
2024-12-28,2287572
2024-12-29,2138839
2024-12-30,3355638
2024-12-31,2914084
